z_center_cm,hottest_channel_q_W,average_channel_q_W,std_channel_q_W,median_channel_q_W,coldest_channel_q_W
2.379000000000000004e+00,3.909569451646947869e+02,4.369778677159859512e+02,7.220491402358457833e+01,3.814132995056249911e+02,2.186324469662948502e+02
7.137000000000000455e+00,3.963447149343938349e+02,4.035875133774351866e+02,6.053056447683551511e+01,3.587949957686686275e+02,1.973431705420745459e+02
1.189499999999999957e+01,4.045283024815062163e+02,3.884964354021475970e+02,5.382188060656712736e+01,3.498996228053939035e+02,1.839331938875562287e+02
1.665299999999999869e+01,4.165337867011520530e+02,3.817815550781483012e+02,5.023289430029016955e+01,3.537960851133298661e+02,1.817138023784345364e+02
2.141100000000000136e+01,4.232159462660151803e+02,3.783466014414648839e+02,4.853342461384347928e+01,3.532039884738791784e+02,1.777359282286645055e+02
2.616900000000000048e+01,4.285558912848583759e+02,3.755356996794287170e+02,4.773218651468202722e+01,3.504202662974249165e+02,1.746328282222820860e+02
3.092699999999999960e+01,4.302220469734610333e+02,3.701949562200600212e+02,4.680661941208287402e+01,3.535598806542220700e+02,1.721818319968968183e+02
3.568500000000000227e+01,4.252248553950755650e+02,3.613375912377746886e+02,4.611726019226056650e+01,3.449767776680561724e+02,1.656178385628468561e+02
4.044299999999999784e+01,4.189669586340795036e+02,3.482254660749126174e+02,4.541453065057795158e+01,3.372662704762431076e+02,1.577152784939518426e+02
4.520100000000000051e+01,4.096479129124675751e+02,3.309371813273397720e+02,4.541778915049108178e+01,3.280389801721531171e+02,1.449349310231907282e+02
4.995900000000000318e+01,3.943194915600971626e+02,3.095257425583681652e+02,4.684390532353454262e+01,3.119075383848115166e+02,1.261135030622676538e+02
5.471699999999999875e+01,3.783426072393380650e+02,2.861168811490504709e+02,4.969884615287232066e+01,2.961493620369289488e+02,1.017808093333390076e+02
5.947500000000000142e+01,3.572852074295519742e+02,2.643582858602501346e+02,5.079472558451362829e+01,2.809192786767719099e+02,8.650093796272403779e+01
6.423300000000000409e+01,3.395946031535085012e+02,2.445524959617344507e+02,4.986001352992590796e+01,2.639728747060682963e+02,7.942053685950128283e+01
6.899099999999999966e+01,3.224691869731713041e+02,2.265467525316643957e+02,4.800374146134164732e+01,2.481802835637232079e+02,7.283673873289578182e+01
7.374899999999999523e+01,3.017106756627607638e+02,2.100221608079858697e+02,4.592110465397377084e+01,2.294902854029555499e+02,6.782770340377140883e+01
7.850700000000000500e+01,2.809263789766202990e+02,1.949706384946677815e+02,4.370890370705616590e+01,2.163533394048055811e+02,6.170384242784565743e+01
8.326500000000000057e+01,2.623982931271597181e+02,1.809464302659225154e+02,4.131564848047660377e+01,1.996685604854265819e+02,5.798535461995031426e+01
8.802299999999999613e+01,2.451139263097962839e+02,1.678136286606824683e+02,3.888155269750736664e+01,1.864658633393482035e+02,5.252973077551941117e+01
